URI,type,label,definition,subClassOf,subPropertyOf 
prov:AgentInfluence,owl:Class,AgentInfluence,AgentInfluence provides additional descriptions of an Agent's binary influence upon any other kind of resource. Instances of AgentInfluence use the prov:agent property to cite the influencing Agent.,http://www.w3.org/ns/prov#Influence,  
prov:AgentInfluence,owl:Class,AgentInfluence,It is not recommended that the type AgentInfluence be asserted without also asserting one of its more specific subclasses.,http://www.w3.org/ns/prov#Influence,  
Prov:Revision,owl:Class,Revision,"An instance of prov:Revision proides additional descriptions about the binary prov:wasRevisionOf relation from some newer prov:Entity to an earlier prov:Entity. For example, :draft_2 prov:wasRevisionOf :draft_1; prov:qualifiedRevision [ a prov:Revision; prov:entity :draft_1; :foo :bar ]. ",prov:Derivation,  
prov:Communication,owl:Class,Communication,"An instance of prov:Communication provides additional descriptions about the binary prov:wasInformedBy relation from an informed prov:Activity to the prov:Activity that informed it. For example, :you_jumping_off_bridge prov:wasInformedBy :everyone_else_jumping_off_bridge; prov:qualifiedCommunication [ a prov:Communication; prov:activity :everyone_else_jumping_off_bridge; :foo :bar ]. ",prov:ActivityInfluence,  
prov:wasStartedBy,owl:ObjectProperty,wasStartedBy,"Start is when an activity is deemed to have started. A start may refer to an entity, known as trigger, that initiated the activity. ", ,prov:wasInfluencedBy 
prov:qualifiedRevision,owl:ObjectProperty,qualifiedRevision,"If this Entity prov:wasRevisionOf Entity :e, then it can qualify how it was revised using prov:qualifiedRevision [ a prov:Revision;  prov:entity :e; :foo :bar ]. ", ,prov:qualifiedInfluence 
prov:wasDerivedFrom,owl:ObjectProperty,wasDerivedFrom,"The more specific subproperties of prov:wasDerivedFrom (i.e., prov:wasQuotedFrom, prov:wasRevisionOf, prov:hadPrimarySource) should be used when applicable. ", ,prov:wasInfluencedBy 
prov:hadRole,owl:ObjectProperty,hadRole,"This property has multiple RDFS domains to suit multiple OWL Profiles. See <a href=""#owl-profile"">PROV-O OWL Profile</a>. ", ,  
prov:hadRole,owl:ObjectProperty,hadRole,"The _optional_ Role that an Entity assumed in the context of an Activity. For example, :baking prov:used :spoon; prov:qualified [ a prov:Usage; prov:entity :spoon; prov:hadRole roles:mixing_implement ]. ", ,  
prov:qualifiedAttribution,owl:ObjectProperty,qualifiedAttribution,"If this Entity prov:wasAttributedTo Agent :ag, then it can qualify how it was influenced using prov:qualifiedAttribution [ a prov:Attribution;  prov:agent :ag; :foo :bar ]. ", ,prov:qualifiedInfluence 
prov:invalidatedAtTime,owl:DatatypeProperty,invalidatedAtTime,"The time at which an entity was invalidated (i.e., no longer usable). ", ,  
prov:generatedAtTime,owl:DatatypeProperty,generatedAtTime,The time at which an entity was completely created and is available for use., ,  
prov:qualifiedPrimarySource,owl:ObjectProperty,qualifiedPrimarySource,"If this Entity prov:hadPrimarySource Entity :e, then it can qualify how using prov:qualifiedPrimarySource [ a prov:PrimarySource; prov:entity :e; :foo :bar ]. ", ,prov:qualifiedInfluence 
prov:qualifiedGeneration,owl:ObjectProperty,qualifiedGeneration,"If this Activity prov:generated Entity :e, then it can qualify how it performed the Generation using prov:qualifiedGeneration [ a prov:Generation;  prov:entity :e; :foo :bar ]. ", ,prov:qualifiedInfluence 
prov:qualifiedEnd,owl:ObjectProperty,qualifiedEnd,"If this Activity prov:wasEndedBy Entity :e1, then it can qualify how it was ended using prov:qualifiedEnd [ a prov:End;  prov:entity :e1; :foo :bar ]. ", ,prov:qualifiedInfluence 
prov:InstantaneousEvent,owl:Class,InstantaneousEvent,"An instantaneous event, or event for short, happens in the world and marks a change in the world, in its activities and in its entities. The term 'event' is commonly used in process algebra with a similar meaning. Events represent communications or interactions; they are assumed to be atomic and instantaneous. ", ,  
prov:qualifiedStart,owl:ObjectProperty,qualifiedStart,"If this Activity prov:wasStartedBy Entity :e1, then it can qualify how it was started using prov:qualifiedStart [ a prov:Start;  prov:entity :e1; :foo :bar ]. ", ,prov:qualifiedInfluence 
prov:Start,owl:Class,Start,"An instance of prov:Start provides additional descriptions about the binary prov:wasStartedBy relation from some started prov:Activity to an prov:Entity that started it. For example, :foot_race prov:wasStartedBy :bang; prov:qualifiedStart [ a prov:Start; prov:entity :bang; :foo :bar; prov:atTime '2012-03-09T08:05:08-05:00'^^xsd:dateTime ] . ",prov:InstantaneousEvent,  
prov:Start,owl:Class,Start,"An instance of prov:Start provides additional descriptions about the binary prov:wasStartedBy relation from some started prov:Activity to an prov:Entity that started it. For example, :foot_race prov:wasStartedBy :bang; prov:qualifiedStart [ a prov:Start; prov:entity :bang; :foo :bar; prov:atTime '2012-03-09T08:05:08-05:00'^^xsd:dateTime ] . ",prov:EntityInfluence,  
prov:actedOnBehalfOf,owl:ObjectProperty,actedOnBehalfOf,An object property to express the accountability of an agent towards another agent. The subordinate agent acted on behalf of the responsible agent in an actual activity. , ,prov:wasInfluencedBy 
prov:hadUsage,owl:ObjectProperty,hadUsage,The _optional_ Usage involved in an Entity's Derivation., ,  
prov:qualifiedAssociation,owl:ObjectProperty,qualifiedAssociation,"If this Activity prov:wasAssociatedWith Agent :ag, then it can qualify the Association using prov:qualifiedAssociation [ a prov:Association;  prov:agent :ag; :foo :bar ]. ", ,prov:qualifiedInfluence 
prov:Derivation,owl:Class,Derivation,"An instance of prov:Derivation provides additional descriptions about the binary prov:wasDerivedFrom relation from some derived prov:Entity to another prov:Entity from which it was derived. For example, :chewed_bubble_gum prov:wasDerivedFrom :unwrapped_bubble_gum; prov:qualifiedDerivation [ a prov:Derivation; prov:entity :unwrapped_bubble_gum; :foo :bar ]. ",prov:EntityInfluence,  
prov:Derivation,owl:Class,Derivation,"The more specific forms of prov:Derivation (i.e., prov:Revision, prov:Quotation, prov:PrimarySource) should be asserted if they apply. ",prov:EntityInfluence,  
prov:Usage,owl:Class,Usage,"An instance of prov:Usage provides additional descriptions about the binary prov:used relation from some prov:Activity to an prov:Entity that it used. For example, :keynote prov:used :podium; prov:qualifiedUsage [ a prov:Usage; prov:entity :podium; :foo :bar ]. ",prov:InstantaneousEvent,  
prov:Usage,owl:Class,Usage,"An instance of prov:Usage provides additional descriptions about the binary prov:used relation from some prov:Activity to an prov:Entity that it used. For example, :keynote prov:used :podium; prov:qualifiedUsage [ a prov:Usage; prov:entity :podium; :foo :bar ]. ",prov:EntityInfluence,  
prov:wasInfluencedBy,owl:ObjectProperty,wasInfluencedBy,"This property has multiple RDFS domains to suit multiple OWL Profiles. See <a href=""#owl-profile"">PROV-O OWL Profile</a>. ", ,  
prov:wasInfluencedBy,owl:ObjectProperty,wasInfluencedBy,"Because prov:wasInfluencedBy is a broad relation, its more specific subproperties (e.g. prov:wasInformedBy, prov:actedOnBehalfOf, prov:wasEndedBy, etc.) should be used when applicable. ", ,  
prov:Generation,owl:Class,Generation,"An instance of prov:Generation provides additional descriptions about the binary prov:wasGeneratedBy relation from a generated prov:Entity to the prov:Activity that generated it. For example, :cake prov:wasGeneratedBy :baking; prov:qualifiedGeneration [ a prov:Generation; prov:activity :baking; :foo :bar ]. ",prov:InstantaneousEvent,  
prov:Generation,owl:Class,Generation,"An instance of prov:Generation provides additional descriptions about the binary prov:wasGeneratedBy relation from a generated prov:Entity to the prov:Activity that generated it. For example, :cake prov:wasGeneratedBy :baking; prov:qualifiedGeneration [ a prov:Generation; prov:activity :baking; :foo :bar ]. ",prov:ActivityInfluence,  
prov:Attribution,owl:Class,Attribution,"An instance of prov:Attribution provides additional descriptions about the binary prov:wasAttributedTo relation from an prov:Entity to some prov:Agent that had some responsible for it. For example, :cake prov:wasAttributedTo :baker; prov:qualifiedAttribution [ a prov:Attribution; prov:entity :baker; :foo :bar ]. ",prov:AgentInfluence,  
prov:endedAtTime,owl:DatatypeProperty,endedAtTime,The time at which an activity ended. See also prov:startedAtTime., ,  
prov:hadActivity,owl:ObjectProperty,hadActivity,"The _optional_ Activity of an Influence, which used, generated, invalidated, or was the responsibility of some Entity. This property is _not_ used by ActivityInfluence (use prov:activity instead). ", ,  
prov:hadActivity,owl:ObjectProperty,hadActivity,"This property has multiple RDFS domains to suit multiple OWL Profiles. See <a href=""#owl-profile"">PROV-O OWL Profile</a>. ", ,  
prov:Delegation,owl:Class,Delegation,"An instance of prov:Delegation provides additional descriptions about the binary prov:actedOnBehalfOf relation from a performing prov:Agent to some prov:Agent for whom it was performed. For example, :mixing prov:wasAssociatedWith :toddler . :toddler prov:actedOnBehalfOf :mother; prov:qualifiedDelegation [ a prov:Delegation; prov:entity :mother; :foo :bar ]. ",prov:AgentInfluence,  
prov:End,owl:Class,End,"An instance of prov:End provides additional descriptions about the binary prov:wasEndedBy relation from some ended prov:Activity to an prov:Entity that ended it. For example, :ball_game prov:wasEndedBy :buzzer; prov:qualifiedEnd [ a prov:End; prov:entity :buzzer; :foo :bar; prov:atTime '2012-03-09T08:05:08-05:00'^^xsd:dateTime ]. ",prov:InstantaneousEvent,  
prov:End,owl:Class,End,"An instance of prov:End provides additional descriptions about the binary prov:wasEndedBy relation from some ended prov:Activity to an prov:Entity that ended it. For example, :ball_game prov:wasEndedBy :buzzer; prov:qualifiedEnd [ a prov:End; prov:entity :buzzer; :foo :bar; prov:atTime '2012-03-09T08:05:08-05:00'^^xsd:dateTime ]. ",prov:EntityInfluence,  
prov:used,owl:ObjectProperty,used,"A prov:Entity that was used by this prov:Activity. For example, :baking prov:used :spoon, :egg, :oven . ", ,prov:wasInfluencedBy 
prov:wasEndedBy,owl:ObjectProperty,wasEndedBy,"End is when an activity is deemed to have ended. An end may refer to an entity, known as trigger, that terminated the activity. ", ,prov:wasInfluencedBy 
prov:qualifiedDelegation,owl:ObjectProperty,qualifiedDelegation,"If this Agent prov:actedOnBehalfOf Agent :ag, then it can qualify how with prov:qualifiedResponsibility [ a prov:Responsibility;  prov:agent :ag; :foo :bar ]. ", ,prov:qualifiedInfluence 
prov:atTime,owl:DatatypeProperty,atTime,"The time at which an InstantaneousEvent occurred, in the form of xsd:dateTime. ", ,  
prov:qualifiedInfluence,owl:ObjectProperty,qualifiedInfluence,"Because prov:qualifiedInfluence is a broad relation, the more specific relations (qualifiedCommunication, qualifiedDelegation, qualifiedEnd, etc.) should be used when applicable. ", ,  
prov:EntityInfluence,owl:Class,EntityInfluence,It is not recommended that the type EntityInfluence be asserted without also asserting one of its more specific subclasses.,prov:Influence,  
